Algorithm,Average_Rank,Rank_diff_vs_control,z,p_unadjusted,p_Holm,significant_0.05
SHADE,3.138888888888889,0.6388888888888888,1.254752868856956,0.20956848684274654,0.30490133405786857,False
jSO,3.2777777777777777,0.7777777777777777,1.5275252316519463,0.12663045794761718,0.30490133405786857,False
L-SHADE,3.375,0.875,1.7184658856084398,0.08571167175529881,0.30490133405786857,False
LSHADE-cnEpSin,3.4027777777777777,0.9027777777777777,1.7730203581674377,0.07622533351446714,0.30490133405786857,False
DE,5.708333333333333,3.208333333333333,6.301041580564279,2.9565216941307426e-10,1.4782608470653713e-09,True
CMA-ES,6.597222222222222,4.097222222222222,8.04678470245222,8.881784197001252e-16,5.329070518200751e-15,True
