Function,Dimension,CBA-SHADE,L-SHADE,jSO,LSHADE-cnEpSin,SHADE,CMA-ES,DE
Ackley,30,0.0,0.0,0.0,0.0,0.0,5.075025692213185,0.0
Ackley,50,0.0,0.0,0.0,0.0,0.0,5.598010620840312,0.46986173311721874
Ackley,100,0.0,8.525592809505156e-09,0.0,1.1821330684706292e-07,0.3740343396532454,7.767011371258113,3.123485427745604
BentCigar,30,0.0,0.0,0.0,0.0,0.0,880145654.9495767,0.0
BentCigar,50,0.0,0.0,0.0,0.0,0.0,1732505680.0177689,0.00502948404344973
BentCigar,100,0.0,5.823630746073509e-05,2.9742778219784856e-08,0.0005287912644657909,0.0,3289054593.1981993,232.84470251980142
Composition,30,0.0,0.0,0.0,0.0,0.0,525.6619700900974,0.0
Composition,50,0.0,0.0,0.0,0.0,0.0,655.2332219931236,9.351131361976054e-10
Composition,100,0.0,1.313940959481407e-08,0.0,1.916738581075498e-07,0.0,1891.3763318340082,2.9743077214936837e-05
DynamicSphere,30,0.01465295469481996,1.1746829549739188,1.2497167607069732,0.8278814742199199,1.9251479076286917,1173.5284907701016,0.41498791188919976
DynamicSphere,50,0.027513641421396087,3.6564372455191037,2.990510175900602,3.0630143166617003,1.921377131110201,1446.9317503210043,2.7197886162107485
DynamicSphere,100,0.30016793059465274,11.176782088482316,21.087103010873435,12.375419735198099,3.0056623004541962,3988.695461160139,49.3384360906671
Griewank,30,0.0,0.0,0.0,0.0,0.0,7.625099420385068,0.0022165986740913433
Griewank,50,0.0,0.0,0.0,0.0,0.0002465346778038333,14.292385267629072,0.02610012861925023
Griewank,100,0.0012324275082832834,0.0,0.00024653467780387,0.0,0.0036100070504767132,34.00013098905671,0.1554460405110353
Levy,30,0.0,0.0,0.0,0.0,0.0,13.128164798600656,0.8877792454039123
Levy,50,0.0,0.0,0.0,0.0,0.07527515199789099,37.34284206490527,1.960455698733463
Levy,100,0.10467238436946677,0.0,0.0059685500277627404,0.0,2.5411291318306555,95.2432925516275,19.78982214380369
NoisyRastrigin,30,0.20061111211789237,1.6453536603679753,4.743118854644799,4.266937487667617,12.65337367046417,78.38472763434734,60.433639852245115
NoisyRastrigin,50,0.6174676983363683,13.076634340321732,20.374416120126526,23.0608615337815,12.051713241964942,140.15631389924502,39.28241376520968
NoisyRastrigin,100,13.523436025603065,97.77683283081166,90.61278792149855,131.51275517450756,4.360068152661605,346.6578840418887,114.102233359863
NoisySphere,30,0.01362005680229104,0.012685561243139626,0.009024434722499317,0.009604874600547634,0.011468835846034324,941.1273986454331,0.014845616241145923
NoisySphere,50,0.026088421385438963,0.01610675747176398,0.017708916326315757,0.017025676124605413,0.014736340277782072,1765.3563682585745,0.0327569027829968
NoisySphere,100,0.07373491939416275,0.033906408594405676,0.04675512287315129,0.05580026962416972,0.05142193144374871,3083.374701202553,0.1898978012295406
Rosenbrock,30,0.47411663623085415,13.208429553823041,12.16546494279471,13.030467639406567,0.7990658272824779,342304.8369346143,38.87861694825797
Rosenbrock,50,20.858941649038872,34.98497906714023,33.13753506632936,36.01313626362999,13.547194525050271,1657002.6551698735,390.056284727376
Rosenbrock,100,77.00746395599225,108.1685896476186,88.6083371161938,94.34706297528302,66.46739336620178,2948628.1410659803,231591.17603678306
RotatedElliptic,30,3634.30415374359,2055.3103790733653,1551.064858166427,3.830859031701818,113568.74761623872,2832724.4068300347,3791362.471867405
RotatedElliptic,50,48032.35717704313,72331.91256887255,65719.20851879472,13365.899060363057,240230.6346315861,4546600.116449254,8980014.972761624
RotatedElliptic,100,464290.6730331008,994116.3202336325,1161290.824526705,497124.6087450557,972418.7852894511,8859442.482385308,10684993.717321891
Schwefel,30,0.0003818269888142,0.14507670413137624,3.413191804415389,16.687219099709242,27.081648171334077,5410.426731621787,2062.5520997701265
Schwefel,50,0.0006363783178433632,108.70097987880932,486.682232103173,1165.5261128451941,47.76660607483124,8986.02474607521,4389.2264478449015
Schwefel,100,72.39090567928676,5270.031374612709,5848.212235365778,10106.776278350148,47.80717775541804,18001.155571460004,10676.700307930616
Zakharov,30,0.0,0.0,0.0,0.0,0.0,0.20322968174096967,0.13727845012272946
Zakharov,50,0.0,0.00013163524675289772,4.025211404846153e-05,5.236765464088684e-07,1.5413143980536728e-06,0.0,84.72463124282127
Zakharov,100,0.05013936136000101,0.6532043609989902,0.25361637221186933,0.03683842561702365,0.026359143044659694,0.0,1131.3062239326941
