Algorithm,Average_Rank
CBA-SHADE,2.5
SHADE,3.138888888888889
jSO,3.2777777777777777
L-SHADE,3.375
LSHADE-cnEpSin,3.4027777777777777
DE,5.708333333333333
CMA-ES,6.597222222222222
