Function,Dimension,Algorithm,mean,std
Levy,50,LSHADE-cnEpSin,0.0,0.0
Levy,50,SHADE,0.07527515199789099,0.14512102340576105
Levy,50,jSO,0.0,0.0
Levy,100,CBA-SHADE,0.10467238436946677,0.11860219923837652
Levy,100,CMA-ES,95.2432925516275,31.397122521356827
Levy,100,DE,19.78982214380369,9.210894782444763
Levy,100,L-SHADE,0.0,0.0
Levy,100,LSHADE-cnEpSin,0.0,0.0
Levy,100,SHADE,2.5411291318306555,1.5017803980194184
Levy,100,jSO,0.0059685500277627404,0.022714045147745478
NoisyRastrigin,30,CBA-SHADE,0.20061111211789237,0.039759208054947544
NoisyRastrigin,30,CMA-ES,78.38472763434734,14.434787302788257
NoisyRastrigin,30,DE,60.433639852245115,32.27126969970892
NoisyRastrigin,30,L-SHADE,1.6453536603679753,0.4607597334581119
NoisyRastrigin,30,LSHADE-cnEpSin,4.266937487667617,1.704300991778387
NoisyRastrigin,30,SHADE,12.65337367046417,1.6517784899834393
NoisyRastrigin,30,jSO,4.743118854644799,1.7121523759708328
NoisyRastrigin,50,CBA-SHADE,0.6174676983363683,0.4235838341581438
NoisyRastrigin,50,CMA-ES,140.15631389924502,25.951499980134138
NoisyRastrigin,50,DE,39.28241376520968,17.458476865832747
NoisyRastrigin,50,L-SHADE,13.076634340321732,1.9937788956456755
NoisyRastrigin,50,LSHADE-cnEpSin,23.0608615337815,4.092121748349591
NoisyRastrigin,50,SHADE,12.051713241964942,2.659532939662953
NoisyRastrigin,50,jSO,20.374416120126526,2.864215265978151
NoisyRastrigin,100,CBA-SHADE,13.523436025603065,1.2072800817970353
NoisyRastrigin,100,CMA-ES,346.6578840418887,45.819178857466426
NoisyRastrigin,100,DE,114.102233359863,21.18929100640868
NoisyRastrigin,100,L-SHADE,97.77683283081166,8.15005383659871
NoisyRastrigin,100,LSHADE-cnEpSin,131.51275517450756,11.509730852966069
NoisyRastrigin,100,SHADE,4.360068152661605,0.38860212775891734
NoisyRastrigin,100,jSO,90.61278792149855,6.516812098671906
NoisySphere,30,CBA-SHADE,0.01362005680229104,0.00394541683292054
NoisySphere,30,CMA-ES,941.1273986454331,1312.6884488532687
NoisySphere,30,DE,0.014845616241145923,0.0032141813227134827
NoisySphere,30,L-SHADE,0.012685561243139626,0.0029868970603134978
NoisySphere,30,LSHADE-cnEpSin,0.009604874600547634,0.0020868194165595834
NoisySphere,30,SHADE,0.011468835846034324,0.002385373224220257
NoisySphere,30,jSO,0.009024434722499317,0.002610180764712835
NoisySphere,50,CBA-SHADE,0.026088421385438963,0.004737060479308917
NoisySphere,50,CMA-ES,1765.3563682585745,2113.487825367693
NoisySphere,50,DE,0.0327569027829968,0.013333241329009596
NoisySphere,50,L-SHADE,0.01610675747176398,0.0028121140403513014
NoisySphere,50,LSHADE-cnEpSin,0.017025676124605413,0.003955998663393525
NoisySphere,50,SHADE,0.014736340277782072,0.003946183861949018
NoisySphere,50,jSO,0.017708916326315757,0.004191782057714467
NoisySphere,100,CBA-SHADE,0.07373491939416275,0.009194148331521775
NoisySphere,100,CMA-ES,3083.374701202553,2754.593851635912
NoisySphere,100,DE,0.1898978012295406,0.1774647855876956
NoisySphere,100,L-SHADE,0.033906408594405676,0.0053351498861785775
NoisySphere,100,LSHADE-cnEpSin,0.05580026962416972,0.008849985855438405
NoisySphere,100,SHADE,0.05142193144374871,0.008143359183788728
NoisySphere,100,jSO,0.04675512287315129,0.007694759966233509
Rosenbrock,30,CBA-SHADE,0.47411663623085415,0.9994488932217359
Rosenbrock,30,CMA-ES,342304.8369346143,619060.6111433182
Rosenbrock,30,DE,38.87861694825797,30.109757376260866
Rosenbrock,30,L-SHADE,13.208429553823041,0.8235225482370641
Rosenbrock,30,LSHADE-cnEpSin,13.030467639406567,0.8582349101725436
Rosenbrock,30,SHADE,0.7990658272824779,0.5782350472353717
Rosenbrock,30,jSO,12.16546494279471,0.889580157923573
Rosenbrock,50,CBA-SHADE,20.858941649038872,1.853744907939379
Rosenbrock,50,CMA-ES,1657002.6551698735,3490568.808289889
Rosenbrock,50,DE,390.056284727376,1362.2831653451215
Rosenbrock,50,L-SHADE,34.98497906714023,1.2061765035736634
Rosenbrock,50,LSHADE-cnEpSin,36.01313626362999,0.7960960890607861
Rosenbrock,50,SHADE,13.547194525050271,11.02609892992574
Rosenbrock,50,jSO,33.13753506632936,0.9334119595069855
Rosenbrock,100,CBA-SHADE,77.00746395599225,12.629746487396313
Rosenbrock,100,CMA-ES,2948628.1410659803,3274460.381231743
Rosenbrock,100,DE,231591.17603678306,1239421.3322414216
Rosenbrock,100,L-SHADE,108.1685896476186,27.155820567142957
Rosenbrock,100,LSHADE-cnEpSin,94.34706297528302,15.021175367321515
Rosenbrock,100,SHADE,66.46739336620178,32.13614020599939
Rosenbrock,100,jSO,88.6083371161938,10.6374667390694
RotatedElliptic,30,CBA-SHADE,3634.30415374359,5469.390448583002
RotatedElliptic,30,CMA-ES,2832724.4068300347,5107423.989216307
RotatedElliptic,30,DE,3791362.471867405,1372009.9904589055
RotatedElliptic,30,L-SHADE,2055.3103790733653,2801.371139344819
RotatedElliptic,30,LSHADE-cnEpSin,3.830859031701818,13.59649521256318
RotatedElliptic,30,SHADE,113568.74761623872,74289.15346041498
RotatedElliptic,30,jSO,1551.064858166427,2498.6317532972753
RotatedElliptic,50,CBA-SHADE,48032.35717704313,24388.29418905263
RotatedElliptic,50,CMA-ES,4546600.116449254,5116820.1296955785
RotatedElliptic,50,DE,8980014.972761624,5769890.135751183
RotatedElliptic,50,L-SHADE,72331.91256887255,38379.68303914099
RotatedElliptic,50,LSHADE-cnEpSin,13365.899060363057,11902.043209557509
RotatedElliptic,50,SHADE,240230.6346315861,102212.93291477625
RotatedElliptic,50,jSO,65719.20851879472,22016.395929030514
RotatedElliptic,100,CBA-SHADE,464290.6730331008,127607.96719943605
RotatedElliptic,100,CMA-ES,8859442.482385308,6819827.033726507
RotatedElliptic,100,DE,10684993.717321891,2756770.394745515
RotatedElliptic,100,L-SHADE,994116.3202336325,206233.1296124654
RotatedElliptic,100,LSHADE-cnEpSin,497124.6087450557,112574.02007022727
RotatedElliptic,100,SHADE,972418.7852894511,301258.4400694901
RotatedElliptic,100,jSO,1161290.824526705,271057.8269403126
Schwefel,30,CBA-SHADE,0.0003818269888142,0.0
Schwefel,30,CMA-ES,5410.426731621787,568.7142690871943
Schwefel,30,DE,2062.5520997701265,681.2819285817578
Schwefel,30,L-SHADE,0.14507670413137624,0.2587863730946724
Schwefel,30,LSHADE-cnEpSin,16.687219099709242,26.74898841835149
Schwefel,30,SHADE,27.081648171334077,47.071468188698944
Schwefel,30,jSO,3.413191804415389,4.30627018335428
Schwefel,50,CBA-SHADE,0.0006363783178433632,6.641866297992191e-13
Schwefel,50,CMA-ES,8986.02474607521,876.2064045053979
Schwefel,50,DE,4389.2264478449015,835.7143909336954
Schwefel,50,L-SHADE,108.70097987880932,65.60848457613623
Schwefel,50,LSHADE-cnEpSin,1165.5261128451941,236.27772896059744
Schwefel,50,SHADE,47.76660607483124,66.5015212226937
Schwefel,50,jSO,486.682232103173,208.30560215731217
Schwefel,100,CBA-SHADE,72.39090567928676,51.21634941409108
Schwefel,100,CMA-ES,18001.155571460004,915.0759155712985
Schwefel,100,DE,10676.700307930616,1086.306245827782
Schwefel,100,L-SHADE,5270.031374612709,401.5032596548364
Schwefel,100,LSHADE-cnEpSin,10106.776278350148,787.6353166739756
Schwefel,100,SHADE,47.80717775541804,85.70736401763087
Schwefel,100,jSO,5848.212235365778,589.8747063209353
Zakharov,30,CBA-SHADE,0.0,0.0
Zakharov,30,CMA-ES,0.20322968174096967,1.1131348104412488
Zakharov,30,DE,0.13727845012272946,0.1666578851063937
Zakharov,30,L-SHADE,0.0,0.0
Zakharov,30,LSHADE-cnEpSin,0.0,0.0
Zakharov,30,SHADE,0.0,0.0
Zakharov,30,jSO,0.0,0.0
Zakharov,50,CBA-SHADE,0.0,0.0
Zakharov,50,CMA-ES,0.0,0.0
Zakharov,50,DE,84.72463124282127,38.769250510562614
Zakharov,50,L-SHADE,0.00013163524675289772,0.00035999858982336527
Zakharov,50,LSHADE-cnEpSin,5.236765464088684e-07,4.856251998928989e-07
Zakharov,50,SHADE,1.5413143980536728e-06,2.654552816836521e-06
Zakharov,50,jSO,4.025211404846153e-05,3.7381637195401545e-05
Zakharov,100,CBA-SHADE,0.05013936136000101,0.040917246068372555
Zakharov,100,CMA-ES,0.0,0.0
Zakharov,100,DE,1131.3062239326941,193.98902376225803
Zakharov,100,L-SHADE,0.6532043609989902,0.445966429677153
Zakharov,100,LSHADE-cnEpSin,0.03683842561702365,0.017250607405993178
Zakharov,100,SHADE,0.026359143044659694,0.02415617649055495
Zakharov,100,jSO,0.25361637221186933,0.12951701717237338
