Function,Dimension,rn10_eta0.1,rn10_eta0.2,rn10_eta0.4,rn4_eta0.1,rn4_eta0.2,rn4_eta0.4,rn6_eta0.1,rn6_eta0.2,rn6_eta0.4,rn8_eta0.1,rn8_eta0.2,rn8_eta0.4
F1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F10,10,0.0,0.0,0.0,0.0,0.0,2.4873976427332423,0.0,0.0,0.0,0.0,0.0,0.0
F10,30,5.373745854928586,6.090366791557358,6.800399712553428,4.495694838007125,9.011457511633068,3.979836228373301,3.050990746569539,2.7500398566893978,2.0382141862774574,4.3476707992349475,6.326562490608126,10.822867312828237
F11,10,0.2081429846455194,0.2081429846455194,0.2081429846455194,0.2081429846455194,55.04432395487152,0.2081429846455194,0.2081429846455194,0.1040714923227597,0.2081429846455194,217.1396693905731,0.2081429846455194,0.2081429846455194
F11,30,0.0693932123849663,0.0693932123849663,0.0693932123849663,67.783704759932,67.7837047599321,0.03469660619248315,0.0693932123849663,0.0693932123849663,0.0,0.0693932123849663,0.0,0.0
F15,10,117.2597604183594,1.4774042212658287,117.14075890056506,1.3472220599945786,1.441015860719972,1.1166001900888887,1.6873973101454567,117.3341476897233,117.35363627637992,1.1819404273622922,1.5383173393917104,117.27045351834954
F15,30,3.4444855683032074,3.5606637940633163,3.505960293148405,3.442335939560735,3.4842107144339707,111.9824840125276,3.6010566585896413,3.525157986307363,3.4034951146045387,3.487850364239989,3.4274193247097173,3.568548311959603
F3,10,3.986579112347158,3.986579112347158,1.993289556173579,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158
F3,30,31.810711664704968,31.810711664704968,31.810711664704968,31.810711664704968,31.810711664704968,31.810711664704968,31.810711664704968,31.810711664704968,31.810711664704968,31.810711664704968,31.810711664704968,31.810711664704968
F4,10,1.9899181141865936,1.4924385856399451,1.9899181378991957,2.98488501287207,2.9848771712798907,2.9848771712798907,1.9899181151865832,1.9899181141865936,2.9848771712798907,1.9899181141875601,2.9848771712798907,1.9899181141865936
F4,30,6.964715541204924,8.457729840936025,6.983175895365719,12.934467742212917,12.436988213666297,12.93603730602996,9.94959057103975,9.949590570932997,9.453380402616773,9.949590571315127,9.452391215038404,8.457172576770262
F5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F5,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,10,12.164073346777798,12.635065982658091,12.55335095330446,12.880859451717185,13.577155709586464,13.74101075738156,13.126727729192453,12.962787213960723,12.88085679844869,11.918233259032547,12.471205366975482,12.880979159574338
F6,30,39.052644586138115,37.902814881522545,37.57187092997697,44.02182454391965,43.23477491968998,42.78978936974653,39.88072473514245,39.90131079047643,40.72953014020044,40.30512803454309,39.05250306855527,39.554484903775176
F7,10,6.0,6.000365442895259,8.000012485803893,10.0,8.00000813414448,8.000003443591083,6.000003870884655,8.000001607062302,8.0,7.000040948317746,8.000000000000057,8.0
F7,30,30.001022158279625,32.00017656851429,29.000847784323753,43.00000047626696,41.000535817332036,42.0000646831441,33.00000027067023,35.0000964357734,40.000008010614295,34.000013418938465,30.00000000958005,33.001630553788175
F9,10,6.926661282580426,6.901828041810404,6.948299047969613,14.420937088340906,18.47208323152836,12.046044068662923,8.755992262865675,16.105657053306004,10.338570733229972,8.670977473736002,7.087964192050094,8.570780427497084
F9,30,949.9875043116572,887.055820412068,936.2024064785282,1185.808603514155,1270.3223798746385,1077.2140944095863,1088.5747307882712,967.5290520508124,1101.2330995240827,1293.275320015162,1066.7634699803075,1008.1778413179909
