Alg,Function,Dim,Run,Best
A: pop6 (2-bosqich g'olibi),Griewank,30,13,0.0
A: pop6 (2-bosqich g'olibi),Griewank,30,14,0.0
A: pop6 (2-bosqich g'olibi),Levy,30,0,3.0523835679544635e-30
A: pop6 (2-bosqich g'olibi),Levy,30,1,2.4547671352441573e-30
A: pop6 (2-bosqich g'olibi),Levy,30,2,1.7002831521130905e-30
A: pop6 (2-bosqich g'olibi),Levy,30,3,1.3098332020322824e-30
A: pop6 (2-bosqich g'olibi),Levy,30,4,2.4034730774029946e-30
A: pop6 (2-bosqich g'olibi),Levy,30,5,2.8491975878546636e-30
A: pop6 (2-bosqich g'olibi),Levy,30,6,2.505066067452893e-30
A: pop6 (2-bosqich g'olibi),Levy,30,7,2.505066067452892e-30
A: pop6 (2-bosqich g'olibi),Levy,30,8,2.255561657674055e-30
A: pop6 (2-bosqich g'olibi),Levy,30,9,3.2022852389482526e-30
A: pop6 (2-bosqich g'olibi),Levy,30,10,1.7082441571724855e-30
A: pop6 (2-bosqich g'olibi),Levy,30,11,2.106655112312691e-30
A: pop6 (2-bosqich g'olibi),Levy,30,12,4.347219172160122e-30
A: pop6 (2-bosqich g'olibi),Levy,30,13,2.305860589882792e-30
A: pop6 (2-bosqich g'olibi),Levy,30,14,1.3098332020322809e-30
A: pop6 (2-bosqich g'olibi),NoisyRastrigin,30,0,0.26890227544072687
A: pop6 (2-bosqich g'olibi),NoisyRastrigin,30,1,0.14605208417779814
A: pop6 (2-bosqich g'olibi),NoisyRastrigin,30,2,0.1585193366958748
A: pop6 (2-bosqich g'olibi),NoisyRastrigin,30,3,0.1693858368685781
A: pop6 (2-bosqich g'olibi),NoisyRastrigin,30,4,0.2064074156860105
A: pop6 (2-bosqich g'olibi),NoisyRastrigin,30,5,0.22087491440703388
A: pop6 (2-bosqich g'olibi),NoisyRastrigin,30,6,0.18676052959174072
A: pop6 (2-bosqich g'olibi),NoisyRastrigin,30,7,0.18637630637122626
A: pop6 (2-bosqich g'olibi),NoisyRastrigin,30,8,0.17804882959313062
A: pop6 (2-bosqich g'olibi),NoisyRastrigin,30,9,0.20476563351484778
A: pop6 (2-bosqich g'olibi),NoisyRastrigin,30,10,0.2942037113028011
A: pop6 (2-bosqich g'olibi),NoisyRastrigin,30,11,0.2046189465689583
A: pop6 (2-bosqich g'olibi),NoisyRastrigin,30,12,0.24990112948007948
A: pop6 (2-bosqich g'olibi),NoisyRastrigin,30,13,0.2555183886410308
A: pop6 (2-bosqich g'olibi),NoisyRastrigin,30,14,0.18803194608124407
A: pop6 (2-bosqich g'olibi),NoisySphere,30,0,0.0057636895020821135
A: pop6 (2-bosqich g'olibi),NoisySphere,30,1,0.010433161171848416
A: pop6 (2-bosqich g'olibi),NoisySphere,30,2,0.012072877803043187
A: pop6 (2-bosqich g'olibi),NoisySphere,30,3,0.010598784548178844
A: pop6 (2-bosqich g'olibi),NoisySphere,30,4,0.014255460626829407
A: pop6 (2-bosqich g'olibi),NoisySphere,30,5,0.007265536383594243
A: pop6 (2-bosqich g'olibi),NoisySphere,30,6,0.008309235055948203
A: pop6 (2-bosqich g'olibi),NoisySphere,30,7,0.01571056663684838
A: pop6 (2-bosqich g'olibi),NoisySphere,30,8,0.01083636753162585
A: pop6 (2-bosqich g'olibi),NoisySphere,30,9,0.010016596200930991
A: pop6 (2-bosqich g'olibi),NoisySphere,30,10,0.009814645745785824
A: pop6 (2-bosqich g'olibi),NoisySphere,30,11,0.014770985854043045
A: pop6 (2-bosqich g'olibi),NoisySphere,30,12,0.01192433465396075
A: pop6 (2-bosqich g'olibi),NoisySphere,30,13,0.01049693165169483
A: pop6 (2-bosqich g'olibi),NoisySphere,30,14,0.013293220364335414
A: pop6 (2-bosqich g'olibi),Rosenbrock,30,0,4.425158132426758
A: pop6 (2-bosqich g'olibi),Rosenbrock,30,1,4.789440404830304
A: pop6 (2-bosqich g'olibi),Rosenbrock,30,2,2.9781200320019656
A: pop6 (2-bosqich g'olibi),Rosenbrock,30,3,4.129207117172975
