Algorithm,Average_Rank,Rank_diff_vs_control,z,p_unadjusted,p_Holm,significant_0.05
jSO,3.0,0.4583333333333335,0.5197011503876876,0.6032718849809418,1.0,False
LSHADE-cnEpSin,3.125,0.5833333333333335,0.6614378277661478,0.5083315735521454,1.0,False
L-SHADE,3.25,0.7083333333333335,0.803174505144608,0.42187387911442586,1.0,False
DE,4.083333333333333,1.5416666666666665,1.7480856876676758,0.08044919091412028,0.32179676365648113,False
SHADE,5.625,3.0833333333333335,3.496171375335352,0.00047198546358062643,0.002359927317903132,True
CMA-ES,6.375,3.8333333333333335,4.346591439606113,1.3826942406591769e-05,8.296165443955061e-05,True
