Algorithm,Average_Rank
CBA-SHADE,2.8333333333333335
LSHADE-cnEpSin,2.9166666666666665
L-SHADE,3.2083333333333335
jSO,3.2291666666666665
DE,4.166666666666667
SHADE,5.5625
CMA-ES,6.083333333333333
