Algorithm,Function,Dimension,Run,Best
N1-off,F8,20,17,5.555384819168921
N1-off,F8,20,18,0.9650875873494442
N1-off,F8,20,19,0.9992595111734772
N1-off,F8,20,20,0.9122679223542036
N1-off,F8,20,21,0.9239243585261648
N1-off,F8,20,22,1.579164505697463
N1-off,F8,20,23,3.1719324867040086
N1-off,F8,20,24,9.8663648220313
N1-off,F8,20,25,1.3354475586356784
N1-off,F8,20,26,1.5475987916606757
N1-off,F8,20,27,0.9584570233000704
N1-off,F8,20,28,0.8579573384618016
N1-off,F8,20,29,0.7732015955712086
ACE-SHADE,F4,10,0,4.000029536358625
ACE-SHADE,F4,10,1,2.000000008004463
ACE-SHADE,F4,10,2,4.000000000011255
ACE-SHADE,F4,10,3,8.000009962856893
ACE-SHADE,F4,10,4,2.0
ACE-SHADE,F4,10,5,6.0
ACE-SHADE,F4,10,6,2.0
ACE-SHADE,F4,10,7,2.0
ACE-SHADE,F4,10,8,4.000036389514662
ACE-SHADE,F4,10,9,4.000032315721114
ACE-SHADE,F4,10,10,8.000008242364743
ACE-SHADE,F4,10,11,4.0
ACE-SHADE,F4,10,12,6.000035454415411
ACE-SHADE,F4,10,13,4.000067616254569
ACE-SHADE,F4,10,14,6.000001155228119
ACE-SHADE,F4,10,15,4.0
ACE-SHADE,F4,10,16,8.000000003347964
ACE-SHADE,F4,10,17,4.0
ACE-SHADE,F4,10,18,4.0
ACE-SHADE,F4,10,19,4.0
ACE-SHADE,F4,10,20,8.000000000271143
ACE-SHADE,F4,10,21,4.0
ACE-SHADE,F4,10,22,4.000000000000114
ACE-SHADE,F4,10,23,6.0
ACE-SHADE,F4,10,24,6.000129665218196
ACE-SHADE,F4,10,25,6.000000001708827
ACE-SHADE,F4,10,26,8.000000000000455
ACE-SHADE,F4,10,27,4.000000000010232
ACE-SHADE,F4,10,28,6.0000000030350975
ACE-SHADE,F4,10,29,6.000003052832653
N1-off,F4,10,0,8.0
N1-off,F4,10,1,8.000025623284728
N1-off,F4,10,2,10.00000000180512
N1-off,F4,10,3,10.000000896650818
N1-off,F4,10,4,6.00018369707584
N1-off,F4,10,5,16.00000178271887
N1-off,F4,10,6,6.000004289005005
N1-off,F4,10,7,8.0
N1-off,F4,10,8,6.000000245651904
N1-off,F4,10,9,6.000004377638675
N1-off,F4,10,10,8.000000012114242
N1-off,F4,10,11,14.000000000158934
N1-off,F4,10,12,8.0
N1-off,F4,10,13,6.000038950829548
N1-off,F4,10,14,8.00000000830596
N1-off,F4,10,15,10.000001707740012
N1-off,F4,10,16,6.000127590077227
N1-off,F4,10,17,10.000000236177812
N1-off,F4,10,18,12.000000079217102
N1-off,F4,10,19,12.0
N1-off,F4,10,20,10.000001612982487
N1-off,F4,10,21,8.000000000532395
N1-off,F4,10,22,6.000000000255568
N1-off,F4,10,23,10.0000093646222
N1-off,F4,10,24,10.000000000000114
N1-off,F4,10,25,6.000000064381766
N1-off,F4,10,26,10.000008512111776
N1-off,F4,10,27,8.000000990937679
N1-off,F4,10,28,8.000000810107167
N1-off,F4,10,29,8.000000004810772
N2-off,F4,10,0,6.0
N2-off,F4,10,1,8.000000000002956
N2-off,F4,10,2,6.0
N2-off,F4,10,3,6.0
N2-off,F4,10,4,8.0
N2-off,F4,10,5,4.0
N2-off,F4,10,6,6.0
N2-off,F4,10,7,6.0
N2-off,F4,10,8,6.0
N2-off,F4,10,9,6.0
N2-off,F4,10,10,4.0
N2-off,F4,10,11,6.0
N2-off,F4,10,12,4.0
N2-off,F4,10,13,6.0
N2-off,F4,10,14,8.0
N2-off,F4,10,15,4.0
N2-off,F4,10,16,4.0
N2-off,F4,10,17,8.0
N2-off,F4,10,18,8.0
N2-off,F4,10,19,6.0
N2-off,F4,10,20,10.0
N2-off,F4,10,21,4.0
N2-off,F4,10,22,6.0
N2-off,F4,10,23,6.0
N2-off,F4,10,24,6.0
N2-off,F4,10,25,6.0
N2-off,F4,10,26,4.0
N2-off,F4,10,27,8.0
N2-off,F4,10,28,4.0
N2-off,F4,10,29,4.0
cmu-population,F4,10,0,4.0
cmu-population,F4,10,1,4.000000000000114
cmu-population,F4,10,2,6.0
cmu-population,F4,10,3,8.0
cmu-population,F4,10,4,4.0
cmu-population,F4,10,5,6.0
cmu-population,F4,10,6,8.0000000000922
cmu-population,F4,10,7,6.0
cmu-population,F4,10,8,6.0
cmu-population,F4,10,9,2.0
cmu-population,F4,10,10,6.000000000000114
cmu-population,F4,10,11,2.0
cmu-population,F4,10,12,6.0
cmu-population,F4,10,13,4.0
cmu-population,F4,10,14,4.0
cmu-population,F4,10,15,2.0
cmu-population,F4,10,16,4.0
cmu-population,F4,10,17,6.0
cmu-population,F4,10,18,6.000163996599326
cmu-population,F4,10,19,6.0
cmu-population,F4,10,20,6.0
cmu-population,F4,10,21,2.0000000000001137
cmu-population,F4,10,22,6.00000000483783
cmu-population,F4,10,23,4.0
cmu-population,F4,10,24,8.00000000004502
cmu-population,F4,10,25,2.0
cmu-population,F4,10,26,6.00000140155214
cmu-population,F4,10,27,6.0
cmu-population,F4,10,28,6.0
cmu-population,F4,10,29,4.0
ACE-SHADE,F7,10,0,0.0143552760891907
ACE-SHADE,F7,10,1,0.0322763275476063
ACE-SHADE,F7,10,2,0.0376826288522806
ACE-SHADE,F7,10,3,0.008520124610186
ACE-SHADE,F7,10,4,0.5282673148221875
ACE-SHADE,F7,10,5,0.2206038194146913
ACE-SHADE,F7,10,6,0.0063698221060803
ACE-SHADE,F7,10,7,0.1978157310866208
ACE-SHADE,F7,10,8,0.0019544484132438
ACE-SHADE,F7,10,9,0.0125146684911214
ACE-SHADE,F7,10,10,0.0036027341914177
ACE-SHADE,F7,10,11,0.0322712305519417
ACE-SHADE,F7,10,12,0.0981860204212807
ACE-SHADE,F7,10,13,0.0004801084733117
ACE-SHADE,F7,10,14,0.0453554218727276
ACE-SHADE,F7,10,15,0.0463786871789579
ACE-SHADE,F7,10,16,0.1299962108637373
ACE-SHADE,F7,10,17,0.1591203970713195
ACE-SHADE,F7,10,18,2.4899396767875714
ACE-SHADE,F7,10,19,0.0559722060122567
ACE-SHADE,F7,10,20,0.0019130692774069
ACE-SHADE,F7,10,21,0.1916714317417245
ACE-SHADE,F7,10,22,0.0545678467115067
ACE-SHADE,F7,10,23,0.0182702781016814
ACE-SHADE,F7,10,24,0.0304200773869069
ACE-SHADE,F7,10,25,0.8468789444407321
ACE-SHADE,F7,10,26,0.0287994552736563
ACE-SHADE,F7,10,27,0.0030332522358094
ACE-SHADE,F7,10,28,3.2396849293988907
ACE-SHADE,F7,10,29,20.006444555735925
N1-off,F7,10,0,0.1859730132912318
N1-off,F7,10,1,0.3135695225701056
N1-off,F7,10,2,0.4103751929151258
N1-off,F7,10,3,1.2184568514412604
N1-off,F7,10,4,0.7353977747814042
N1-off,F7,10,5,0.7338449200171908
N1-off,F7,10,6,0.3946558201412244
N1-off,F7,10,7,0.5978479641819376
N1-off,F7,10,8,0.7848053657787659
N1-off,F7,10,9,0.4439234346521061
N1-off,F7,10,10,0.8474392495961638
N1-off,F7,10,11,1.038143169412706
N1-off,F7,10,12,0.359069120586355
N1-off,F7,10,13,0.4389351277352489
N1-off,F7,10,14,0.8409637859658687
N1-off,F7,10,15,1.0463650333283567
N1-off,F7,10,16,0.4168637734821914
N1-off,F7,10,17,0.1680924526806393
N1-off,F7,10,18,0.5668648148919146
N1-off,F7,10,19,0.5623124682713296
N1-off,F7,10,20,1.1432010089968117
N1-off,F7,10,21,0.7091258689747519
N1-off,F7,10,22,0.6495435272661325
N1-off,F7,10,23,1.2667689630143286
N1-off,F7,10,24,0.5923978967225594
N1-off,F7,10,25,0.9715881946881382
N1-off,F7,10,26,0.2544712971516674
N1-off,F7,10,27,0.6110107055490062
N1-off,F7,10,28,0.2967895842855341
N1-off,F7,10,29,0.9228781222066118
N2-off,F7,10,0,20.00339662972783
N2-off,F7,10,1,0.0260234397217118
N2-off,F7,10,2,20.00206190102904
N2-off,F7,10,3,0.0029482175843895
N2-off,F7,10,4,19.61834711846268
N2-off,F7,10,5,0.0278014356931635
N2-off,F7,10,6,4.447610058398595
N2-off,F7,10,7,0.0491944506918571
N2-off,F7,10,8,0.5163129139248213
N2-off,F7,10,9,20.01197023372333
N2-off,F7,10,10,0.5102634125357781
N2-off,F7,10,11,20.015060111851653
N2-off,F7,10,12,20.003610714073147
N2-off,F7,10,13,0.0002925219744156
N2-off,F7,10,14,20.09583474876058
N2-off,F7,10,15,0.0030169269707585
N2-off,F7,10,16,0.0292105749538222
N2-off,F7,10,17,20.03398304498341
N2-off,F7,10,18,0.0005725334015096
N2-off,F7,10,19,0.0050985742236662
N2-off,F7,10,20,0.2357440466992102
N2-off,F7,10,21,0.0002217824580839
N2-off,F7,10,22,0.0594738399236121
N2-off,F7,10,23,0.0456031357500705
N2-off,F7,10,24,0.0652401176814692
N2-off,F7,10,25,20.00029803776601
N2-off,F7,10,26,20.06076283625339
N2-off,F7,10,27,0.5512642491726183
N2-off,F7,10,28,19.972381630821246
N2-off,F7,10,29,0.0516078926866612
cmu-population,F7,10,0,20.007859934911263
cmu-population,F7,10,1,0.0063136195067272
cmu-population,F7,10,2,20.00088266306375
cmu-population,F7,10,3,0.0178672602255574
cmu-population,F7,10,4,0.4201431555650288
cmu-population,F7,10,5,0.4277101470045181
cmu-population,F7,10,6,19.34715915526908
cmu-population,F7,10,7,18.288639057615
cmu-population,F7,10,8,0.0118059156420713
cmu-population,F7,10,9,0.0341263643449565
cmu-population,F7,10,10,0.0087886698815964
cmu-population,F7,10,11,0.002611393464349
cmu-population,F7,10,12,0.0157970533955449
cmu-population,F7,10,13,0.0780000106865372
cmu-population,F7,10,14,0.0582561487099155
cmu-population,F7,10,15,0.1950830544014934
cmu-population,F7,10,16,0.0672832417280915
cmu-population,F7,10,17,0.5320279458544519
cmu-population,F7,10,18,0.0042251642028077
cmu-population,F7,10,19,0.0369733176917179
cmu-population,F7,10,20,0.0935296324473711
cmu-population,F7,10,21,0.0013371614516017
cmu-population,F7,10,22,0.6094224717146517
cmu-population,F7,10,23,0.3480845014366878
cmu-population,F7,10,24,0.0203970965781081
cmu-population,F7,10,25,19.94195329933291
cmu-population,F7,10,26,0.56997905489402
cmu-population,F7,10,27,0.1309472699047091
cmu-population,F7,10,28,0.5018027944258847
cmu-population,F7,10,29,0.0518464261569988
ACE-SHADE,F5,10,0,0.0
ACE-SHADE,F5,10,1,0.0
ACE-SHADE,F5,10,2,0.0
ACE-SHADE,F5,10,3,0.0
ACE-SHADE,F5,10,4,0.0
ACE-SHADE,F5,10,5,0.0
ACE-SHADE,F5,10,6,0.0
ACE-SHADE,F5,10,7,0.0
ACE-SHADE,F5,10,8,0.0
ACE-SHADE,F5,10,9,0.0
ACE-SHADE,F5,10,10,0.0
ACE-SHADE,F5,10,11,0.0
ACE-SHADE,F5,10,12,0.0
ACE-SHADE,F5,10,13,0.0
ACE-SHADE,F5,10,14,0.0
ACE-SHADE,F5,10,15,0.0
ACE-SHADE,F5,10,16,0.0
ACE-SHADE,F5,10,17,0.0
ACE-SHADE,F5,10,18,0.0
ACE-SHADE,F5,10,19,0.0
ACE-SHADE,F5,10,20,0.0
ACE-SHADE,F5,10,21,0.0
ACE-SHADE,F5,10,22,0.0
ACE-SHADE,F5,10,23,0.0
ACE-SHADE,F5,10,24,0.0
ACE-SHADE,F5,10,25,0.0
ACE-SHADE,F5,10,26,0.0
ACE-SHADE,F5,10,27,0.0
ACE-SHADE,F5,10,28,0.0
ACE-SHADE,F5,10,29,0.0
N1-off,F5,10,0,0.0
N1-off,F5,10,1,0.0
N1-off,F5,10,2,0.0
N1-off,F5,10,3,0.0
N1-off,F5,10,4,0.0
N1-off,F5,10,5,0.0
N1-off,F5,10,6,0.0
N1-off,F5,10,7,0.0
N1-off,F5,10,8,0.0
N1-off,F5,10,9,0.0
N1-off,F5,10,10,0.0
N1-off,F5,10,11,0.0
N1-off,F5,10,12,0.0
N1-off,F5,10,13,0.0
N1-off,F5,10,14,0.0
N1-off,F5,10,15,0.0
N1-off,F5,10,16,0.0
N1-off,F5,10,17,0.0
N1-off,F5,10,18,0.0
N1-off,F5,10,19,0.0
N1-off,F5,10,20,0.0
N1-off,F5,10,21,0.0
N1-off,F5,10,22,0.0
N1-off,F5,10,23,0.0
N1-off,F5,10,24,0.0
N1-off,F5,10,25,0.0
N1-off,F5,10,26,0.0
N1-off,F5,10,27,0.0
N1-off,F5,10,28,0.0
N1-off,F5,10,29,0.0
N2-off,F5,10,0,0.0
N2-off,F5,10,1,0.0
N2-off,F5,10,2,0.0
N2-off,F5,10,3,0.0
N2-off,F5,10,4,0.0
N2-off,F5,10,5,0.0
N2-off,F5,10,6,0.0
N2-off,F5,10,7,0.0
N2-off,F5,10,8,0.0
N2-off,F5,10,9,0.0
N2-off,F5,10,10,0.0
N2-off,F5,10,11,0.0
N2-off,F5,10,12,0.0
N2-off,F5,10,13,0.0
N2-off,F5,10,14,0.0
N2-off,F5,10,15,0.0
N2-off,F5,10,16,0.0
N2-off,F5,10,17,0.0
N2-off,F5,10,18,0.0
N2-off,F5,10,19,0.0
N2-off,F5,10,20,0.0
N2-off,F5,10,21,0.0
N2-off,F5,10,22,0.0
N2-off,F5,10,23,0.0
N2-off,F5,10,24,0.0
N2-off,F5,10,25,0.0
N2-off,F5,10,26,0.0
N2-off,F5,10,27,0.0
N2-off,F5,10,28,0.0
N2-off,F5,10,29,0.0
cmu-population,F5,10,0,0.0
cmu-population,F5,10,1,0.0
cmu-population,F5,10,2,0.0
cmu-population,F5,10,3,0.0
cmu-population,F5,10,4,0.0
cmu-population,F5,10,5,0.0
cmu-population,F5,10,6,0.0
cmu-population,F5,10,7,0.0
cmu-population,F5,10,8,0.0
cmu-population,F5,10,9,0.0
cmu-population,F5,10,10,0.0
cmu-population,F5,10,11,0.0
cmu-population,F5,10,12,0.0
cmu-population,F5,10,13,0.0
cmu-population,F5,10,14,0.0
cmu-population,F5,10,15,0.0
cmu-population,F5,10,16,0.0
cmu-population,F5,10,17,0.0
cmu-population,F5,10,18,0.0
cmu-population,F5,10,19,0.0
cmu-population,F5,10,20,0.0
cmu-population,F5,10,21,0.0
cmu-population,F5,10,22,0.0
cmu-population,F5,10,23,0.0
cmu-population,F5,10,24,0.0
cmu-population,F5,10,25,0.0
cmu-population,F5,10,26,0.0
cmu-population,F5,10,27,0.0
cmu-population,F5,10,28,0.0
cmu-population,F5,10,29,0.0
N2-off,F7,20,0,20.70016363431432
N2-off,F7,20,1,20.329784249690874
N2-off,F7,20,2,20.579768736587997
N2-off,F7,20,3,20.132820193069165
N2-off,F7,20,4,20.45709202157559
N2-off,F7,20,5,20.201973156119493
N2-off,F7,20,6,20.281447242485456
N2-off,F7,20,7,20.14627419730118
N2-off,F7,20,8,20.35525295226512
N2-off,F7,20,9,20.6467888532718
N2-off,F7,20,10,20.04996206261967
N2-off,F7,20,11,20.60684397087698
N2-off,F7,20,12,20.327339769062974
N2-off,F7,20,13,20.42243771714152
N2-off,F7,20,14,20.412092326726
N2-off,F7,20,15,20.220689416316876
N2-off,F7,20,16,20.61761272982676
N2-off,F7,20,17,20.18248412039384
N2-off,F7,20,18,20.17432315228712
N2-off,F7,20,19,20.17569780662916
N2-off,F7,20,20,20.78555724013745
N2-off,F7,20,21,20.716402322397244
N2-off,F7,20,22,20.56389780925292
N2-off,F7,20,23,20.51722164905345
N2-off,F7,20,24,20.600542408020143
N2-off,F7,20,25,20.522244990286936
N2-off,F7,20,26,20.52011928460479
N2-off,F7,20,27,20.490421476582696
N2-off,F7,20,28,20.492123212271053
N2-off,F7,20,29,20.48997308237199
N1-off,F1,20,0,0.0
N1-off,F1,20,1,0.0
N1-off,F1,20,2,0.0
N1-off,F1,20,3,0.0
N1-off,F1,20,4,0.0
N1-off,F1,20,5,0.0
N1-off,F1,20,6,0.0
N1-off,F1,20,7,0.0
N1-off,F1,20,8,0.0
N1-off,F1,20,9,0.0
N1-off,F1,20,10,0.0
N1-off,F1,20,11,0.0
N1-off,F1,20,12,0.0
N1-off,F1,20,13,0.0
N1-off,F1,20,14,0.0
N1-off,F1,20,15,0.0
N1-off,F1,20,16,0.0
N1-off,F1,20,17,0.0
N1-off,F1,20,18,0.0
N1-off,F1,20,19,0.0
N1-off,F1,20,20,0.0
N1-off,F1,20,21,0.0
N1-off,F1,20,22,0.0
N1-off,F1,20,23,0.0
N1-off,F1,20,24,0.0
N1-off,F1,20,25,0.0
N1-off,F1,20,26,0.0
N1-off,F1,20,27,0.0
N1-off,F1,20,28,0.0
N1-off,F1,20,29,0.0
ACE-SHADE,F8,10,0,0.2480290526023054
ACE-SHADE,F8,10,1,0.8375142197687637
ACE-SHADE,F8,10,2,20.270522027186416
ACE-SHADE,F8,10,3,0.0990010117552628
ACE-SHADE,F8,10,4,20.187344796924663
ACE-SHADE,F8,10,5,0.1784995874713786
ACE-SHADE,F8,10,6,0.1802070733615437
ACE-SHADE,F8,10,7,0.2192823357718225
ACE-SHADE,F8,10,8,0.2748824986069849
ACE-SHADE,F8,10,9,0.2031020650283608
ACE-SHADE,F8,10,10,0.2626278046764128
ACE-SHADE,F8,10,11,0.4605000721030592
ACE-SHADE,F8,10,12,0.0862123108590822
ACE-SHADE,F8,10,13,0.167615637507879
