Config,Average_Rank
rn10_eta0.1,4.9
rn10_eta0.2,5.1
rn10_eta0.4,5.45
rn8_eta0.2,5.5
rn8_eta0.4,6.3
rn6_eta0.4,6.475
rn8_eta0.1,6.5
rn6_eta0.2,6.6
rn6_eta0.1,6.6
rn4_eta0.4,7.9
rn4_eta0.1,8.025
rn4_eta0.2,8.65
