,+,=,-
NL-SHADE-RSP,2,3,1
LSHADE-SPACMA,2,2,2
LSHADE-cnEpSin,0,3,3
LSHADE-RSP,3,0,3
jSO,3,0,3
L-SHADE,2,2,2
CMA-ES,5,1,0
