Function,Dimension,Algorithm,mean,std
F5,10,LSHADE-SPACMA,0.0,0.0
F5,10,LSHADE-cnEpSin,0.0,0.0
F5,10,NL-SHADE-RSP,0.0,0.0
F5,10,jSO,0.0,0.0
F5,20,ACE-SHADE,0.0,0.0
F5,20,CMA-ES,0.18620953354903425,0.2692294966351387
F5,20,L-SHADE,0.0,0.0
F5,20,LSHADE-RSP,0.0,0.0
F5,20,LSHADE-SPACMA,0.0,0.0
F5,20,LSHADE-cnEpSin,0.0,0.0
F5,20,NL-SHADE-RSP,0.0,0.0
F5,20,jSO,0.0,0.0
F6,10,ACE-SHADE,0.9120412825370902,0.8983025155351205
F6,10,CMA-ES,5581.493619872482,7266.368918487845
F6,10,L-SHADE,0.3170944254072234,0.1708481129467906
F6,10,LSHADE-RSP,0.26338151190923326,0.13712295375328798
F6,10,LSHADE-SPACMA,0.29093373601115974,0.16469280903139807
F6,10,LSHADE-cnEpSin,0.37952417250889237,0.10231583402343641
F6,10,NL-SHADE-RSP,0.4175085078964988,0.09059575473344998
F6,10,jSO,0.26026524276091245,0.12873659931169668
F6,20,ACE-SHADE,2.5914967765082793,2.523352904911305
F6,20,CMA-ES,34242.932716889525,18821.10789455669
F6,20,L-SHADE,0.48954524792119014,0.03807267181245861
F6,20,LSHADE-RSP,0.49160874396801924,0.015370064318270158
F6,20,LSHADE-SPACMA,0.4954648015779488,0.008591854819293625
F6,20,LSHADE-cnEpSin,0.49580275432867893,0.007180010948642218
F6,20,NL-SHADE-RSP,0.48740016719237544,0.03992989050043286
F6,20,jSO,0.49645302606924513,0.005759924772626027
F7,10,ACE-SHADE,2.6970701824129266,6.474797980187168
F7,10,CMA-ES,21.7374747763947,2.0062648622710766
F7,10,L-SHADE,0.6248757949800999,0.2367421342083875
F7,10,LSHADE-RSP,0.564471832440601,0.3519082391647727
F7,10,LSHADE-SPACMA,1.4385354874624452,3.6411960062134288
F7,10,LSHADE-cnEpSin,2.958824621171622,6.867512381708806
F7,10,NL-SHADE-RSP,0.18890758566243065,0.13495773348694895
F7,10,jSO,1.311965592452543,3.639380261259145
F7,20,ACE-SHADE,20.35111088088341,0.15443845481890875
F7,20,CMA-ES,23.33317049473667,1.7572354544169686
F7,20,L-SHADE,19.9427901737111,2.9556465226236193
F7,20,LSHADE-RSP,19.69272284728807,2.7866428217832286
F7,20,LSHADE-SPACMA,20.460188306710197,0.18442804594978338
F7,20,LSHADE-cnEpSin,19.270209871071255,4.0757909073532685
F7,20,NL-SHADE-RSP,20.647023033215046,0.6502248432879894
F7,20,jSO,20.545914506402664,0.7084893622349714
F8,10,ACE-SHADE,1.6817696709112322,5.1240782880372855
F8,10,CMA-ES,17.153478636762156,5.817787768550081
F8,10,L-SHADE,1.1459876498979762,3.6695112467881574
F8,10,LSHADE-RSP,0.5918884661892055,0.4428069828191305
F8,10,LSHADE-SPACMA,2.567939959324531,6.088642773776397
F8,10,LSHADE-cnEpSin,3.1925892377286496,7.077143851252949
F8,10,NL-SHADE-RSP,0.5188494995315825,0.1747745449820638
F8,10,jSO,0.626305619036187,0.5439599259077903
F8,20,ACE-SHADE,17.403253964499967,7.424905465238943
F8,20,CMA-ES,21.022473802522867,0.39124285439173273
F8,20,L-SHADE,9.463378963087129,9.645301942090745
F8,20,LSHADE-RSP,1.907817169995178,3.7988542178352334
F8,20,LSHADE-SPACMA,9.747759766369063,10.003148435021961
F8,20,LSHADE-cnEpSin,12.078327380673105,10.14584038021662
F8,20,NL-SHADE-RSP,10.624282938412641,10.00706206376166
F8,20,jSO,4.064812342593223,7.434655815682654
F9,10,ACE-SHADE,0.0,0.0
F9,10,CMA-ES,339.84699482618726,92.45977488807125
F9,10,L-SHADE,11.969811492678643,65.56135763624677
F9,10,LSHADE-RSP,11.969811492678643,65.56135763624677
F9,10,LSHADE-SPACMA,0.0,0.0
F9,10,LSHADE-cnEpSin,0.0,0.0
F9,10,NL-SHADE-RSP,0.0,0.0
F9,10,jSO,0.0,0.0
F9,20,ACE-SHADE,335.6387702715756,0.0
F9,20,CMA-ES,337.555812855735,3.465267766386685
F9,20,L-SHADE,335.6387702715757,2.312606865032684e-13
F9,20,LSHADE-RSP,335.6387702715756,0.0
F9,20,LSHADE-SPACMA,335.63877027157565,1.8343603873258308e-13
F9,20,LSHADE-cnEpSin,335.63877027157565,1.772579596496396e-13
F9,20,NL-SHADE-RSP,335.63877027157565,1.9549166785757406e-13
F9,20,jSO,335.6387702715756,0.0
