Algorithm,Group,Average_Rank,Rank_diff_vs_control,z,p_unadjusted,p_Holm,significant_0.05
CMA-ES,asosiy,7.125,2.416666666666667,3.41768277573498,0.0006315667182512641,0.004420967027758849,True
jSO,asosiy,3.5416666666666665,-1.1666666666666665,-1.6499158227686106,0.09896015401940583,0.593760924116435,False
LSHADE-RSP,ikkilamchi,3.6458333333333335,-1.0624999999999996,-1.5026019100214127,0.13294173056504732,0.6647086528252366,False
NL-SHADE-RSP,ikkilamchi,3.8333333333333335,-0.8749999999999996,-1.2374368670764575,0.21592493894014053,0.8636997557605621,False
LSHADE-cnEpSin,asosiy,4.583333333333333,-0.125,-0.17677669529663687,0.8596837951986662,1.0,False
LSHADE-SPACMA,ikkilamchi,4.375,-0.33333333333333304,-0.47140452079103123,0.6373518882339373,1.0,False
L-SHADE,asosiy,4.1875,-0.520833333333333,-0.7365695637359866,0.4613841496654585,1.0,False
