,+,=,-
NL-SHADE-RSP,2,4,2
LSHADE-SPACMA,1,7,0
LSHADE-cnEpSin,2,6,0
LSHADE-RSP,2,5,1
jSO,2,5,1
L-SHADE,2,6,0
CMA-ES,3,3,2
