Function,Dimension,ACE-SHADE,NL-SHADE-RSP,LSHADE-SPACMA,LSHADE-cnEpSin,LSHADE-RSP,jSO,L-SHADE,CMA-ES
F1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F10,10,225.70518393742907,220.87264974897946,225.4355653847702,220.96813337699137,220.87264974897934,220.87264974897928,221.0064659893058,367.66452271045665
F10,20,409.4198080002481,396.4773871369674,399.78687236349714,396.9456548119959,396.56598271476616,396.5659827147661,398.046445187007,1151.9562047393913
F11,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.22257628142214
F11,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.9500510226954
F12,10,166.39138443770378,164.53256457209014,166.48620687921598,165.9382428929889,165.66465192986635,164.8469647231032,165.31664119852263,167.48168949985237
F12,20,244.83083517409776,235.54402568035465,238.92302559406113,240.2382376817958,239.3005678920037,238.3234173867829,238.3793219179601,248.36785840271284
F2,10,4.136576252861685,0.4300893680042824,4.42661950712109,6.084114065599086,4.80816624825285,4.706711734610845,4.479531393890573,8.66445705916768
F2,20,49.084478979481204,49.08447897948122,49.08447897948121,48.24667704707524,45.593637594456304,46.850340493065275,48.80521166867923,40.995594348811345
F3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006615291101744926
F4,10,4.933345113571818,9.866686973883244,5.6666831457470535,7.533537630572046,8.466666666730108,7.866666666668523,8.866699554592662,27.266666666666666
F4,20,14.133333333346581,33.0000241142743,13.800035982142454,19.733482610896374,20.73333333333421,20.133333333333333,17.73336967753976,69.26666666666667
F5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18620953354903425
F6,10,0.9120412825370902,0.4175085078964988,0.29093373601115974,0.37952417250889237,0.26338151190923326,0.26026524276091245,0.3170944254072234,5581.493619872482
F6,20,2.5914967765082793,0.48740016719237544,0.4954648015779488,0.49580275432867893,0.49160874396801924,0.49645302606924513,0.48954524792119014,34242.932716889525
F7,10,2.6970701824129266,0.18890758566243065,1.4385354874624452,2.958824621171622,0.564471832440601,1.311965592452543,0.6248757949800999,21.7374747763947
F7,20,20.35111088088341,20.647023033215046,20.460188306710197,19.270209871071255,19.69272284728807,20.545914506402664,19.9427901737111,23.33317049473667
F8,10,1.6817696709112322,0.5188494995315825,2.567939959324531,3.1925892377286496,0.5918884661892055,0.626305619036187,1.1459876498979762,17.153478636762156
F8,20,17.403253964499967,10.624282938412641,9.747759766369063,12.078327380673105,1.907817169995178,4.064812342593223,9.463378963087129,21.022473802522867
F9,10,0.0,0.0,0.0,0.0,11.969811492678643,0.0,11.969811492678643,339.84699482618726
F9,20,335.6387702715756,335.63877027157565,335.63877027157565,335.63877027157565,335.6387702715756,335.6387702715756,335.6387702715757,337.555812855735
