,+,=,-
NL-SHADE-RSP,0,2,0
LSHADE-SPACMA,0,2,0
LSHADE-cnEpSin,0,2,0
LSHADE-RSP,0,2,0
jSO,0,2,0
L-SHADE,0,2,0
CMA-ES,0,2,0
