comparison,rank_diff,z,p_raw,p_holm
L-SHADE-DGR vs sepCMAES,-4.655172413793103,-5.854826800615348,4.775073826161608e-09,4.297566443545447e-08
L-SHADE-DGR vs CMAES,-3.672413793103448,-4.6188078093743306,3.859511250826607e-06,2.780640310433428e-05
L-SHADE-DGR vs TEMOA_V10,-3.689655172413793,-4.6404923530803135,3.475800388041785e-06,2.780640310433428e-05
L-SHADE-DGR vs IPOP_CMAES,-2.120689655172414,-2.6671988758358816,0.007648639642837432,0.045891837857024595
L-SHADE-DGR vs BIPOP_CMAES,-1.8793103448275859,-2.3636152639521217,0.018097595974603496,0.09048797987301749
L-SHADE-DGR vs LSHADE,-1.5172413793103448,-1.908239846126484,0.056360223771616376,0.2254408950864655
L-SHADE-DGR vs TEMOA_V11,-1.0689655172413794,-1.3444417097709322,0.1788055937870784,0.5364167813612352
L-SHADE-DGR vs jSO,-0.7413793103448278,-0.9324353793572596,0.3511115679369643,0.5958828228192774
L-SHADE-DGR vs TEMOA_V12,-0.827586206896552,-1.0408580978871735,0.2979414114096387,0.5958828228192774
