Algorithm,Function,Dimension,Run,Best
CMA-ES,F1,20,20,0.0
CMA-ES,F1,20,21,0.0
CMA-ES,F1,20,22,0.0
CMA-ES,F1,20,23,0.0
CMA-ES,F1,20,24,0.0
CMA-ES,F1,20,25,0.0
CMA-ES,F1,20,26,0.0
CMA-ES,F1,20,27,0.0
CMA-ES,F1,20,28,0.0
CMA-ES,F1,20,29,0.0
LSHADE-RSP,F1,20,0,0.0
LSHADE-RSP,F1,20,1,0.0
LSHADE-RSP,F1,20,2,0.0
LSHADE-RSP,F1,20,3,0.0
LSHADE-RSP,F1,20,4,0.0
LSHADE-RSP,F1,20,5,0.0
LSHADE-RSP,F1,20,6,0.0
LSHADE-RSP,F1,20,7,0.0
LSHADE-RSP,F1,20,8,0.0
LSHADE-RSP,F1,20,9,0.0
LSHADE-RSP,F1,20,10,0.0
LSHADE-RSP,F1,20,11,0.0
LSHADE-RSP,F1,20,12,0.0
LSHADE-RSP,F1,20,13,0.0
LSHADE-RSP,F1,20,14,0.0
LSHADE-RSP,F1,20,15,0.0
LSHADE-RSP,F1,20,16,0.0
LSHADE-RSP,F1,20,17,0.0
LSHADE-RSP,F1,20,18,0.0
LSHADE-RSP,F1,20,19,0.0
LSHADE-RSP,F1,20,20,0.0
LSHADE-RSP,F1,20,21,0.0
LSHADE-RSP,F1,20,22,0.0
LSHADE-RSP,F1,20,23,0.0
LSHADE-RSP,F1,20,24,0.0
LSHADE-RSP,F1,20,25,0.0
LSHADE-RSP,F1,20,26,0.0
LSHADE-RSP,F1,20,27,0.0
LSHADE-RSP,F1,20,28,0.0
LSHADE-RSP,F1,20,29,0.0
LSHADE-SPACMA,F1,20,0,0.0
LSHADE-SPACMA,F1,20,1,0.0
LSHADE-SPACMA,F1,20,2,0.0
LSHADE-SPACMA,F1,20,3,0.0
LSHADE-SPACMA,F1,20,4,0.0
LSHADE-SPACMA,F1,20,5,0.0
LSHADE-SPACMA,F1,20,6,0.0
LSHADE-SPACMA,F1,20,7,0.0
LSHADE-SPACMA,F1,20,8,0.0
LSHADE-SPACMA,F1,20,9,0.0
LSHADE-SPACMA,F1,20,10,0.0
LSHADE-SPACMA,F1,20,11,0.0
LSHADE-SPACMA,F1,20,12,0.0
LSHADE-SPACMA,F1,20,13,0.0
LSHADE-SPACMA,F1,20,14,0.0
LSHADE-SPACMA,F1,20,15,0.0
LSHADE-SPACMA,F1,20,16,0.0
LSHADE-SPACMA,F1,20,17,0.0
LSHADE-SPACMA,F1,20,18,0.0
LSHADE-SPACMA,F1,20,19,0.0
LSHADE-SPACMA,F1,20,20,0.0
LSHADE-SPACMA,F1,20,21,0.0
LSHADE-SPACMA,F1,20,22,0.0
LSHADE-SPACMA,F1,20,23,0.0
LSHADE-SPACMA,F1,20,24,0.0
LSHADE-SPACMA,F1,20,25,0.0
LSHADE-SPACMA,F1,20,26,0.0
LSHADE-SPACMA,F1,20,27,0.0
LSHADE-SPACMA,F1,20,28,0.0
LSHADE-SPACMA,F1,20,29,0.0
LSHADE-cnEpSin,F1,20,0,0.0
LSHADE-cnEpSin,F1,20,1,0.0
LSHADE-cnEpSin,F1,20,2,0.0
LSHADE-cnEpSin,F1,20,3,0.0
LSHADE-cnEpSin,F1,20,4,0.0
LSHADE-cnEpSin,F1,20,5,0.0
LSHADE-cnEpSin,F1,20,6,0.0
LSHADE-cnEpSin,F1,20,7,0.0
LSHADE-cnEpSin,F1,20,8,0.0
LSHADE-cnEpSin,F1,20,9,0.0
LSHADE-cnEpSin,F1,20,10,0.0
LSHADE-cnEpSin,F1,20,11,0.0
LSHADE-cnEpSin,F1,20,12,0.0
LSHADE-cnEpSin,F1,20,13,0.0
LSHADE-cnEpSin,F1,20,14,0.0
LSHADE-cnEpSin,F1,20,15,0.0
LSHADE-cnEpSin,F1,20,16,0.0
LSHADE-cnEpSin,F1,20,17,0.0
LSHADE-cnEpSin,F1,20,18,0.0
LSHADE-cnEpSin,F1,20,19,0.0
LSHADE-cnEpSin,F1,20,20,0.0
LSHADE-cnEpSin,F1,20,21,0.0
LSHADE-cnEpSin,F1,20,22,0.0
LSHADE-cnEpSin,F1,20,23,0.0
LSHADE-cnEpSin,F1,20,24,0.0
LSHADE-cnEpSin,F1,20,25,0.0
LSHADE-cnEpSin,F1,20,26,0.0
LSHADE-cnEpSin,F1,20,27,0.0
LSHADE-cnEpSin,F1,20,28,0.0
LSHADE-cnEpSin,F1,20,29,0.0
L-SHADE,F1,20,0,0.0
L-SHADE,F1,20,1,0.0
L-SHADE,F1,20,2,0.0
L-SHADE,F1,20,3,0.0
L-SHADE,F1,20,4,0.0
L-SHADE,F1,20,5,0.0
L-SHADE,F1,20,6,0.0
L-SHADE,F1,20,7,0.0
L-SHADE,F1,20,8,0.0
L-SHADE,F1,20,9,0.0
L-SHADE,F1,20,10,0.0
L-SHADE,F1,20,11,0.0
L-SHADE,F1,20,12,0.0
L-SHADE,F1,20,13,0.0
L-SHADE,F1,20,14,0.0
L-SHADE,F1,20,15,0.0
L-SHADE,F1,20,16,0.0
L-SHADE,F1,20,17,0.0
L-SHADE,F1,20,18,0.0
L-SHADE,F1,20,19,0.0
L-SHADE,F1,20,20,0.0
L-SHADE,F1,20,21,0.0
L-SHADE,F1,20,22,0.0
L-SHADE,F1,20,23,0.0
L-SHADE,F1,20,24,0.0
L-SHADE,F1,20,25,0.0
L-SHADE,F1,20,26,0.0
L-SHADE,F1,20,27,0.0
L-SHADE,F1,20,28,0.0
L-SHADE,F1,20,29,0.0
NL-SHADE-RSP,F1,20,0,0.0
NL-SHADE-RSP,F1,20,1,0.0
NL-SHADE-RSP,F1,20,2,0.0
NL-SHADE-RSP,F1,20,3,0.0
NL-SHADE-RSP,F1,20,4,0.0
NL-SHADE-RSP,F1,20,5,0.0
NL-SHADE-RSP,F1,20,6,0.0
NL-SHADE-RSP,F1,20,7,0.0
NL-SHADE-RSP,F1,20,8,0.0
NL-SHADE-RSP,F1,20,9,0.0
NL-SHADE-RSP,F1,20,10,0.0
NL-SHADE-RSP,F1,20,11,0.0
NL-SHADE-RSP,F1,20,12,0.0
NL-SHADE-RSP,F1,20,13,0.0
NL-SHADE-RSP,F1,20,14,0.0
NL-SHADE-RSP,F1,20,15,0.0
NL-SHADE-RSP,F1,20,16,0.0
NL-SHADE-RSP,F1,20,17,0.0
NL-SHADE-RSP,F1,20,18,0.0
NL-SHADE-RSP,F1,20,19,0.0
NL-SHADE-RSP,F1,20,20,0.0
NL-SHADE-RSP,F1,20,21,0.0
NL-SHADE-RSP,F1,20,22,0.0
NL-SHADE-RSP,F1,20,23,0.0
NL-SHADE-RSP,F1,20,24,0.0
NL-SHADE-RSP,F1,20,25,0.0
NL-SHADE-RSP,F1,20,26,0.0
NL-SHADE-RSP,F1,20,27,0.0
NL-SHADE-RSP,F1,20,28,0.0
NL-SHADE-RSP,F1,20,29,0.0
jSO,F1,20,0,0.0
jSO,F1,20,1,0.0
jSO,F1,20,2,0.0
jSO,F1,20,3,0.0
jSO,F1,20,4,0.0
jSO,F1,20,5,0.0
jSO,F1,20,6,0.0
jSO,F1,20,7,0.0
jSO,F1,20,8,0.0
jSO,F1,20,9,0.0
jSO,F1,20,10,0.0
jSO,F1,20,11,0.0
jSO,F1,20,12,0.0
jSO,F1,20,13,0.0
jSO,F1,20,14,0.0
jSO,F1,20,15,0.0
jSO,F1,20,16,0.0
jSO,F1,20,17,0.0
jSO,F1,20,18,0.0
jSO,F1,20,19,0.0
jSO,F1,20,20,0.0
jSO,F1,20,21,0.0
jSO,F1,20,22,0.0
jSO,F1,20,23,0.0
jSO,F1,20,24,0.0
jSO,F1,20,25,0.0
jSO,F1,20,26,0.0
jSO,F1,20,27,0.0
jSO,F1,20,28,0.0
jSO,F1,20,29,0.0
ACE-SHADE,F10,10,0,223.45837526833748
ACE-SHADE,F10,10,1,223.45837526833748
ACE-SHADE,F10,10,2,222.7127553432597
ACE-SHADE,F10,10,3,220.87264974897928
ACE-SHADE,F10,10,4,227.25594913758505
ACE-SHADE,F10,10,5,222.15165065229576
ACE-SHADE,F10,10,6,223.73323643040655
ACE-SHADE,F10,10,7,221.12205728252368
ACE-SHADE,F10,10,8,222.15165065229576
ACE-SHADE,F10,10,9,222.15165065229576
ACE-SHADE,F10,10,10,222.47387661441644
ACE-SHADE,F10,10,11,222.4646216993383
ACE-SHADE,F10,10,12,223.0003674186705
ACE-SHADE,F10,10,13,221.12205728252368
ACE-SHADE,F10,10,14,220.87264974897928
ACE-SHADE,F10,10,15,222.15165065229576
ACE-SHADE,F10,10,16,222.0625618695367
ACE-SHADE,F10,10,17,222.17440007749428
ACE-SHADE,F10,10,18,223.227106655876
ACE-SHADE,F10,10,19,222.47387661441644
ACE-SHADE,F10,10,20,223.14918568303935
ACE-SHADE,F10,10,21,223.73323643040655
ACE-SHADE,F10,10,22,222.15165065229576
ACE-SHADE,F10,10,23,223.45837526833748
ACE-SHADE,F10,10,24,316.80926212000213
ACE-SHADE,F10,10,25,221.12205728252368
ACE-SHADE,F10,10,26,223.45837526833748
ACE-SHADE,F10,10,27,222.17440007749428
ACE-SHADE,F10,10,28,220.54908100223383
ACE-SHADE,F10,10,29,223.45837526833748
NL-SHADE-RSP,F10,10,0,220.87264974897928
NL-SHADE-RSP,F10,10,1,220.8726497489797
NL-SHADE-RSP,F10,10,2,220.87264974897928
NL-SHADE-RSP,F10,10,3,220.87264974897928
NL-SHADE-RSP,F10,10,4,220.8726497489797
NL-SHADE-RSP,F10,10,5,220.87264974897928
NL-SHADE-RSP,F10,10,6,220.8726497489797
NL-SHADE-RSP,F10,10,7,220.87264974897928
NL-SHADE-RSP,F10,10,8,220.8726497489797
NL-SHADE-RSP,F10,10,9,220.87264974897928
NL-SHADE-RSP,F10,10,10,220.8726497489797
NL-SHADE-RSP,F10,10,11,220.8726497489797
NL-SHADE-RSP,F10,10,12,220.87264974897928
NL-SHADE-RSP,F10,10,13,220.8726497489797
NL-SHADE-RSP,F10,10,14,220.8726497489797
NL-SHADE-RSP,F10,10,15,220.87264974897928
NL-SHADE-RSP,F10,10,16,220.87264974897928
NL-SHADE-RSP,F10,10,17,220.87264974897928
NL-SHADE-RSP,F10,10,18,220.87264974897928
NL-SHADE-RSP,F10,10,19,220.87264974897928
NL-SHADE-RSP,F10,10,20,220.87264974897928
NL-SHADE-RSP,F10,10,21,220.87264974897928
NL-SHADE-RSP,F10,10,22,220.8726497489797
NL-SHADE-RSP,F10,10,23,220.8726497489797
NL-SHADE-RSP,F10,10,24,220.87264974897928
NL-SHADE-RSP,F10,10,25,220.8726497489797
NL-SHADE-RSP,F10,10,26,220.87264974897928
NL-SHADE-RSP,F10,10,27,220.87264974897928
NL-SHADE-RSP,F10,10,28,220.8726497489797
NL-SHADE-RSP,F10,10,29,220.87264974897928
LSHADE-SPACMA,F10,10,0,222.15165065229576
LSHADE-SPACMA,F10,10,1,222.17440007749428
LSHADE-SPACMA,F10,10,2,222.47387661441644
LSHADE-SPACMA,F10,10,3,222.17440007749428
LSHADE-SPACMA,F10,10,4,222.47387661441644
LSHADE-SPACMA,F10,10,5,223.45837526833748
LSHADE-SPACMA,F10,10,6,222.17440007749428
LSHADE-SPACMA,F10,10,7,222.15165065229576
LSHADE-SPACMA,F10,10,8,220.87264974897928
LSHADE-SPACMA,F10,10,9,223.45837526833748
LSHADE-SPACMA,F10,10,10,222.17440007749428
LSHADE-SPACMA,F10,10,11,220.87264974897928
LSHADE-SPACMA,F10,10,12,314.9726276791248
LSHADE-SPACMA,F10,10,13,222.15165065229576
LSHADE-SPACMA,F10,10,14,223.45837526833748
LSHADE-SPACMA,F10,10,15,223.45837526833748
LSHADE-SPACMA,F10,10,16,221.12205728252368
LSHADE-SPACMA,F10,10,17,222.53768749269875
LSHADE-SPACMA,F10,10,18,222.15165065229576
LSHADE-SPACMA,F10,10,19,223.45837526833748
LSHADE-SPACMA,F10,10,20,222.15165065229576
LSHADE-SPACMA,F10,10,21,222.15165065229576
LSHADE-SPACMA,F10,10,22,222.15165065229576
LSHADE-SPACMA,F10,10,23,222.15165065229576
LSHADE-SPACMA,F10,10,24,223.45837526833748
LSHADE-SPACMA,F10,10,25,222.15165065229576
LSHADE-SPACMA,F10,10,26,222.47387661441644
LSHADE-SPACMA,F10,10,27,222.15165065229576
LSHADE-SPACMA,F10,10,28,222.15165065229576
LSHADE-SPACMA,F10,10,29,222.15165065229576
LSHADE-cnEpSin,F10,10,0,221.12205728252368
LSHADE-cnEpSin,F10,10,1,220.8726497489797
LSHADE-cnEpSin,F10,10,2,220.8726497489797
LSHADE-cnEpSin,F10,10,3,220.87264974897928
LSHADE-cnEpSin,F10,10,4,220.8726497489797
LSHADE-cnEpSin,F10,10,5,220.8726497489797
LSHADE-cnEpSin,F10,10,6,220.8726497489797
LSHADE-cnEpSin,F10,10,7,222.17440007749428
LSHADE-cnEpSin,F10,10,8,220.8726497489797
LSHADE-cnEpSin,F10,10,9,220.8726497489797
LSHADE-cnEpSin,F10,10,10,220.87264974897928
LSHADE-cnEpSin,F10,10,11,220.87264974897928
LSHADE-cnEpSin,F10,10,12,221.12205728252368
LSHADE-cnEpSin,F10,10,13,220.8726497489797
LSHADE-cnEpSin,F10,10,14,220.8726497489797
LSHADE-cnEpSin,F10,10,15,220.87264974897928
LSHADE-cnEpSin,F10,10,16,221.34942723498307
LSHADE-cnEpSin,F10,10,17,220.87264974897928
LSHADE-cnEpSin,F10,10,18,221.12205728252368
LSHADE-cnEpSin,F10,10,19,220.87264974897928
LSHADE-cnEpSin,F10,10,20,220.8726497489797
LSHADE-cnEpSin,F10,10,21,220.87264974897928
LSHADE-cnEpSin,F10,10,22,220.87264974897928
