Competitor,+,=,-
DE,8,3,1
GWO,12,0,0
HHO,12,0,0
HHO_orig,12,0,0
LSHADE,4,7,1
PSO,12,0,0
PSO_orig,12,0,0
SCA,12,0,0
TEMOA_V10,3,8,1
WOA,12,0,0
jSO,2,9,1
