Dimension,Function,Control,Competitor,median_control,median_competitor,p_signedrank,p_mannwhitney,A12,A12_magnitude,p_holm_cell,p_holm_family,outcome
30,Rosenbrock,TEMOA_V11,jSO,14.054408972885554,17.880640943188922,0.00048828125,3.6584553538971e-05,1.0,large,0.00537109375,0.064453125,+
30,RotatedElliptic,TEMOA_V11,DE,26.747149520459985,3355560.3253353722,0.00048828125,3.6584553538971e-05,1.0,large,0.00537109375,0.064453125,+
30,RotatedElliptic,TEMOA_V11,LSHADE,26.747149520459985,1840.3996125987944,0.00244140625,0.005107905424995494,0.8402777777777778,large,0.00537109375,0.0830078125,+
30,RotatedElliptic,TEMOA_V11,TEMOA_V10,26.747149520459985,23465.424515322426,0.00048828125,3.6584553538971e-05,1.0,large,0.00537109375,0.064453125,+
30,RotatedElliptic,TEMOA_V11,jSO,26.747149520459985,547.0526978380627,0.10986328125,0.008615558118820473,0.8194444444444444,large,0.10986328125,1.0,=
30,Schwefel,TEMOA_V11,DE,118.44330184139835,1925.8304799245298,0.00048828125,3.6584553538971e-05,1.0,large,0.00537109375,0.064453125,+
30,Schwefel,TEMOA_V11,LSHADE,118.44330184139835,0.030835542407658068,0.00048828125,0.00024620623282277246,0.05555555555555558,large,0.00537109375,0.064453125,-
30,Schwefel,TEMOA_V11,TEMOA_V10,118.44330184139835,2398.3898823458912,0.00048828125,3.6584553538971e-05,1.0,large,0.00537109375,0.064453125,+
30,Schwefel,TEMOA_V11,jSO,118.44330184139835,5.428597936582264,0.0068359375,0.03508911609404786,0.24305555555555558,large,0.0068359375,0.205078125,-
30,Zakharov,TEMOA_V11,DE,6.732016555518627e-15,0.027331691653197765,0.00048828125,3.6584553538971e-05,1.0,large,0.00537109375,0.064453125,+
30,Zakharov,TEMOA_V11,LSHADE,6.732016555518627e-15,2.660281642169724e-10,1.0,3.6584553538971e-05,1.0,large,1.0,1.0,=
30,Zakharov,TEMOA_V11,TEMOA_V10,6.732016555518627e-15,2.280783543777306e-20,1.0,3.6584553538971e-05,0.0,large,1.0,1.0,=
30,Zakharov,TEMOA_V11,jSO,6.732016555518627e-15,1.226719003614704e-10,1.0,3.6584553538971e-05,1.0,large,1.0,1.0,=
