Function,Dimension,CBA-SHADE,Eng yaxshi raqib,Raqib,Nisbat,p (Holm),Natija
Ackley,30,1e-09,L-SHADE,0.005,2.0000000000000002e-07,0.001,yutdi
Rosenbrock,30,2.0,L-SHADE,2.1,0.9523809523809523,0.62,teng
RotatedElliptic,30,1440.0,L-SHADE,0.359,4011.142061281337,0.0004,YUTQAZDI
